Total Bits Compared,Bit Errors,BER
1632,4,0.00245098
1632,7,0.00428922
1632,2,0.00122549
1632,2,0.00122549
1632,2,0.00122549
1632,2,0.00122549
1632,3,0.00183824
1632,4,0.00245098
1632,4,0.00245098
1632,2,0.00122549
1632,3,0.00183824
1632,2,0.00122549
1632,2,0.00122549
1632,3,0.00183824
1632,3,0.00183824
1632,4,0.00245098
1632,4,0.00245098
1632,5,0.00306373
1632,5,0.00306373
1632,5,0.00306373
1632,2,0.00122549
1632,2,0.00122549
1632,3,0.00183824
1632,5,0.00306373
1632,5,0.00306373
1632,2,0.00122549
1632,4,0.00245098
1632,15,0.00919118
1632,875,0.53615196
808,111,0.13737624
1632,3,0.00183824
1072,410,0.38246269
1488,7,0.00470430
1104,193,0.17481884
1632,574,0.35171569
1632,573,0.35110294
1632,466,0.28553922
1200,217,0.18083333
1632,583,0.35723039
952,224,0.23529412
696,2,0.00287356
1632,705,0.43198529
1368,76,0.05555556
1632,903,0.55330882
1632,311,0.19056373
1632,541,0.33149510
1632,666,0.40808824
1632,372,0.22794118
1120,224,0.20000000
1104,140,0.12681159
1632,772,0.47303922
1632,753,0.46139706
1632,744,0.45588235
1104,219,0.19836957
1632,658,0.40318627
1056,488,0.46212121
1632,458,0.28063725
1368,343,0.25073099
1632,766,0.46936275
1632,755,0.46262255
1632,729,0.44669118
1104,129,0.11684783
840,217,0.25833333
1632,352,0.21568627
1632,847,0.51899510
880,193,0.21931818
1120,135,0.12053571
904,222,0.24557522
1472,543,0.36888587
1368,57,0.04166667
1632,520,0.31862745
1632,846,0.51838235
1632,517,0.31678922
1104,253,0.22916667
1104,149,0.13496377
1632,799,0.48958333
1632,406,0.24877451
1632,526,0.32230392
1632,743,0.45526961
1104,202,0.18297101
1104,129,0.11684783
840,224,0.26666667
1632,333,0.20404412
1632,339,0.20772059
1104,186,0.16847826
1632,920,0.56372549
1368,108,0.07894737
1632,881,0.53982843
840,115,0.13690476
1104,257,0.23278986
1632,680,0.41666667
1632,814,0.49877451
1632,624,0.38235294
1632,921,0.56433824
1632,555,0.34007353
1632,789,0.48345588
1632,287,0.17585784
1632,550,0.33700980
1632,770,0.47181373
1632,616,0.37745098
1632,668,0.40931373
840,219,0.26071429
1632,134,0.08210784
1632,70,0.04289216
1632,885,0.54227941
1632,597,0.36580882
1632,904,0.55392157
1632,682,0.41789216
1632,845,0.51776961
1632,365,0.22365196
952,193,0.20273109
1384,189,0.13656069
1288,462,0.35869565
1104,155,0.14039855
1168,309,0.26455479
1600,843,0.52687500
1632,935,0.57291667
1632,775,0.47487745
1632,495,0.30330882
832,269,0.32331731
1632,333,0.20404412
1632,777,0.47610294
1104,133,0.12047101
1104,291,0.26358696
1632,730,0.44730392
1104,286,0.25905797
1632,505,0.30943627
1632,494,0.30269608
1632,342,0.20955882
1168,6,0.00513699
1224,324,0.26470588
1184,147,0.12415541
1104,111,0.10054348
1632,808,0.49509804
1632,538,0.32965686
1392,468,0.33620690
1632,817,0.50061275
1632,920,0.56372549
1632,24,0.01470588
1632,23,0.01409314
1632,12,0.00735294
1632,23,0.01409314
1632,19,0.01164216
1632,18,0.01102941
1632,18,0.01102941
1632,18,0.01102941
1632,25,0.01531863
1632,14,0.00857843
1632,18,0.01102941
1632,14,0.00857843
1632,17,0.01041667
1632,11,0.00674020
1632,10,0.00612745
1632,15,0.00919118
1632,26,0.01593137
1632,18,0.01102941
1632,14,0.00857843
1632,12,0.00735294
1632,12,0.00735294
1632,16,0.00980392
1632,15,0.00919118
1632,13,0.00796569
1632,16,0.00980392
1632,9,0.00551471
1632,16,0.00980392
1632,8,0.00490196
1632,21,0.01286765
1632,16,0.00980392
1632,25,0.01531863
1632,14,0.00857843
1632,15,0.00919118
1632,19,0.01164216
1632,20,0.01225490
1632,21,0.01286765
1632,20,0.01225490
1632,23,0.01409314
1632,17,0.01041667
1632,16,0.00980392
1632,24,0.01470588
1632,18,0.01102941
1632,21,0.01286765
1632,16,0.00980392
1632,22,0.01348039
1632,21,0.01286765
1632,22,0.01348039
1632,17,0.01041667
1632,14,0.00857843
1632,19,0.01164216
1632,15,0.00919118
1632,12,0.00735294
1632,16,0.00980392
1632,15,0.00919118
1632,24,0.01470588
1632,8,0.00490196
1632,22,0.01348039
1632,24,0.01470588
1632,12,0.00735294
1632,14,0.00857843
1632,13,0.00796569
1632,13,0.00796569
1632,11,0.00674020
1632,25,0.01531863
1632,26,0.01593137
1632,22,0.01348039
1632,11,0.00674020
1632,22,0.01348039
1632,19,0.01164216
1632,18,0.01102941
1632,17,0.01041667
1632,18,0.01102941
1632,17,0.01041667
1632,15,0.00919118
1632,15,0.00919118
1632,13,0.00796569
1632,13,0.00796569
1632,21,0.01286765
1632,23,0.01409314
1632,15,0.00919118
1632,12,0.00735294
1632,18,0.01102941
1632,24,0.01470588
1632,20,0.01225490
1632,15,0.00919118
1632,9,0.00551471
1632,16,0.00980392
1632,15,0.00919118
1632,18,0.01102941
1632,19,0.01164216
1632,14,0.00857843
1632,11,0.00674020
1632,8,0.00490196
1632,13,0.00796569
1632,17,0.01041667
1632,10,0.00612745
1632,11,0.00674020
1632,33,0.02022059
1632,24,0.01470588
1632,25,0.01531863
1632,23,0.01409314
1632,21,0.01286765
1632,19,0.01164216
1632,13,0.00796569
1632,18,0.01102941
1632,10,0.00612745
1632,20,0.01225490
1632,28,0.01715686
1632,22,0.01348039
1632,17,0.01041667
1632,24,0.01470588
1632,25,0.01531863
1632,9,0.00551471
1632,9,0.00551471
1632,15,0.00919118
1632,19,0.01164216
1632,11,0.00674020
1632,18,0.01102941
1632,17,0.01041667
1632,5,0.00306373
1632,19,0.01164216
1632,16,0.00980392
1632,9,0.00551471
1632,10,0.00612745
1632,13,0.00796569
1632,18,0.01102941
1632,21,0.01286765
1632,19,0.01164216
1632,15,0.00919118
1632,15,0.00919118
1632,17,0.01041667
1632,13,0.00796569
1632,7,0.00428922
1632,20,0.01225490
1632,23,0.01409314
1632,12,0.00735294
1632,23,0.01409314
1632,23,0.01409314
1632,20,0.01225490
1632,12,0.00735294
1632,9,0.00551471
1632,17,0.01041667
1632,18,0.01102941
1632,12,0.00735294
1632,21,0.01286765
1632,9,0.00551471
1632,13,0.00796569
1632,23,0.01409314
1632,12,0.00735294
1632,18,0.01102941
1632,19,0.01164216
1632,23,0.01409314
1632,25,0.01531863
1632,32,0.01960784
1632,202,0.12377451
1632,859,0.52634804
1632,14,0.00857843
1632,100,0.06127451
8,2,0.25000000
1632,795,0.48713235
1632,24,0.01470588
1632,15,0.00919118
1632,20,0.01225490
1632,18,0.01102941
1632,18,0.01102941
1632,11,0.00674020
1632,13,0.00796569
1632,11,0.00674020
1632,13,0.00796569
1632,13,0.00796569
1632,10,0.00612745
1632,8,0.00490196
1632,11,0.00674020
1632,14,0.00857843
1632,14,0.00857843
1632,23,0.01409314
1632,21,0.01286765
1632,22,0.01348039
1632,21,0.01286765
1632,15,0.00919118
1632,27,0.01654412
1632,10,0.00612745
1632,15,0.00919118
1632,11,0.00674020
1632,9,0.00551471
1632,19,0.01164216
1632,177,0.10845588
1632,5,0.00306373
1632,277,0.16973039
1632,336,0.20588235
1632,8,0.00490196
1632,12,0.00735294
1632,814,0.49877451
1632,14,0.00857843
1632,11,0.00674020
1632,11,0.00674020
1632,2,0.00122549
1632,3,0.00183824
1632,7,0.00428922
1632,3,0.00183824
1632,3,0.00183824
1632,4,0.00245098
1632,5,0.00306373
1632,5,0.00306373
1632,6,0.00367647
1632,7,0.00428922
1632,9,0.00551471
1632,5,0.00306373
1632,3,0.00183824
1632,4,0.00245098
